review,sentiment,review_cleaned,review_length
"I don't know how or why this film has a meager rating on IMDb. This film, accompanied by ""I am Curious: Blue"" is a masterwork.<br /><br />The only thing that will let you down in this film is if you don't like the process of film, don't like psychology or if you were expecting hardcore pornographic ramming.<br /><br />This isn't a film that you will want to watch to unwind; it's a film that you want to see like any other masterpiece, with time, attention and care.<br /><br />******SUMMARIES, MAY CONTAIN A SPOILER OR TWO*******<br /><br />The main thing about this film is that it blends the whole film, within a film thing, but it does it in such a way that sometimes you forget that the fictions aren't real.<br /><br />The film is like many films in one:<br /><br />1. A political documentary, about the social system in Sweden at the time. Which in a lot of ways are still relevant to today. Interviews done by a young woman named Lena.<br /><br />2. A narrative about a filmmaker, Vilgot Sjoman, making a film... he deals with a relationship with his star in the film and how he should have never got involved with people he's supposed to work with.<br /><br />3. The film that Vilgot is making. It's about a young woman named Lena(IE. #2), who is young and very politically active, she is making a documentary (IE. #1.). She is also a coming of age and into her sexuality, and the freedom of that.<br /><br />The magnificence and sheer brilliance of ""I am Curious: Yellow/Blue"" is how these three elements are cut together. In one moment you are watching an interview about politics, and the next your watching what the interviewer is doing behind the scenes but does that so well that you sometimes forget that it is the narrative.<br /><br />Another thing is the dynamic between ""Yellow"" and ""Blue"", which if you see one, you must see the other. ""Blue"" is not a sequel at all. I'll try to explain it best i can because to my knowledge, no other films have done it though it is a great technique.<br /><br />Think of ""Yellow"" as a living thing, actual events in 14 scenes. A complete tale.<br /><br />Think of ""Blue"" as all the things IN BETWEEN the 14 scenes in ""Yellow"" that you didn't see, that is a complete tale on it's own.<br /><br />Essentially they are parallel films... the same story, told in two different ways.<br /><br />It wasn't until i saw the first 30 minutes of ""Blue"" that i fully understood ""Yellow""<br /><br />I hope this was helpful for people who are being discouraged by various influences, because this film changed the way i looked at film.<br /><br />thanks for your time.",positive,"I don't know how or why this film has a meager rating on IMDb. This film, accompanied by ""I am Curious: Blue"" is a masterwork. The only thing that will let you down in this film is if you don't like the process of film, don't like psychology or if you were expecting hardcore pornographic ramming. This isn't a film that you will want to watch to unwind; it's a film that you want to see like any other masterpiece, with time, attention and care. ******SUMMARIES, MAY CONTAIN A SPOILER OR TWO******* The main thing about this film is that it blends the whole film, within a film thing, but it does it in such a way that sometimes you forget that the fictions aren't real. The film is like many films in one: 1. A political documentary, about the social system in Sweden at the time. Which in a lot of ways are still relevant to today. Interviews done by a young woman named Lena. 2. A narrative about a filmmaker, Vilgot Sjoman, making a film... he deals with a relationship with his star in the film and how he should have never got involved with people he's supposed to work with. 3. The film that Vilgot is making. It's about a young woman named Lena(IE. #2), who is young and very politically active, she is making a documentary (IE. #1.). She is also a coming of age and into her sexuality, and the freedom of that. The magnificence and sheer brilliance of ""I am Curious: Yellow/Blue"" is how these three elements are cut together. In one moment you are watching an interview about politics, and the next your watching what the interviewer is doing behind the scenes but does that so well that you sometimes forget that it is the narrative. Another thing is the dynamic between ""Yellow"" and ""Blue"", which if you see one, you must see the other. ""Blue"" is not a sequel at all. I'll try to explain it best i can because to my knowledge, no other films have done it though it is a great technique. Think of ""Yellow"" as a living thing, actual events in 14 scenes. A complete tale. Think of ""Blue"" as all the things IN BETWEEN the 14 scenes in ""Yellow"" that you didn't see, that is a complete tale on it's own. Essentially they are parallel films... the same story, told in two different ways. It wasn't until i saw the first 30 minutes of ""Blue"" that i fully understood ""Yellow"" I hope this was helpful for people who are being discouraged by various influences, because this film changed the way i looked at film. thanks for your time.",2436
"For a long time it seemed like all the good Canadian actors had headed south of the border and (I guessed) all the second rank ones filled the top slots and that left the dregs for the sex comedies.<br /><br />This film was a real surprise: despite the outlandish plots that are typical of farces, the actors seemed to be trying to put something into their characters and what we, the viewer, got back was almost true suspension of belief. When the extras from the music video attacked the evicting police, you almost believed it was possible.<br /><br />If you are a fan of some of the better sex farces (Canadian or not) you should definitely seek this one out. And the big surprise, this sex farce is also loaded with some very good nudity.",positive,"For a long time it seemed like all the good Canadian actors had headed south of the border and (I guessed) all the second rank ones filled the top slots and that left the dregs for the sex comedies. This film was a real surprise: despite the outlandish plots that are typical of farces, the actors seemed to be trying to put something into their characters and what we, the viewer, got back was almost true suspension of belief. When the extras from the music video attacked the evicting police, you almost believed it was possible. If you are a fan of some of the better sex farces (Canadian or not) you should definitely seek this one out. And the big surprise, this sex farce is also loaded with some very good nudity.",721
"Terry Gilliam's and David Peoples' teamed up to create one of the most intelligent and creative science fiction movies of the '90's. People's proved a screenplay with bizarre twists and fantastic ideas about the nature of time  I especially love the idea one can't change the past; it's a nice counterpoint to so many time-travelling movies which say otherwise  biological holocausts and the thin line between sanity and madness. Gilliam visualized his ideas with unique quirkiness, perfection and originality.<br /><br />The story itself is engaging: one man, James Cole (played by Bruce Willis in a heart-warming performance) travels several decades to the past to retrieve information about a virus that's wiped out mankind and left only a few survivors alive living underground: with the information he'll collect, scientists hope to find a cure so everyone in the future can return to the surface. But because their time-travelling technology isn't perfect, he ends up being sent towards different other pasts and complicating things. And from that a brilliant science fiction thriller with shades of film noir ensues as the multiple pieces of a huge jigsaw start fitting together to form a bizarre narrative involving animal right activists, end of the millennium paranoia, biological weapons, the perception of reality, and the definition of sanity. With such a complex movie, it was easy for Gilliam and Peoples to create a mess, but instead Twelve Monkeys is a thought-provoking narrative which will please those who like to be challenged and have patience to appreciate some crazy ideas.<br /><br />I watched this movie once around 10 years ago. It marked me a lot: I remember still thinking about many days after-wards; for my young mind this seemed quite mind-blowing and it was one of the first movies to make me appreciate cinema as something serious and important. I've re-watched this movie a few days ago on DVD and it's better than I remembered it. Brad Pitt still steals all the scenes he's in, playing Jeffrey Goines  almost a prelude to his Tyler Durden character in Fight Club  a rich kid with some anarchist/non-conformist ideas who's also crazy and, according to Cole, perhaps responsible for the virus. The scenes between Jeffrey and Cole in the madhouse are the best in the movie, Pitt's eyes, voice and quirky mannerisms convince you he's really a crazy guy locked in a warped logic only he understands. Pitt's Oscar nomination was well deserved! Surprising was also Bruce Willis' performance: his I didn't remember very well, but it's beautiful and full of sensibility; he plays a man who spent almost all his life underground, and when he comes to the past you'll share his childish fascination with something as simple as breathing the fresh air of the morning or watching the sun go up. Cole is a rather ambiguous character, Peoples' tried to imbue some darkness in him, and he does other disturbing things to other people and to himself: the scene where he removes his own teeth reveals how far his dementia has gone unchecked. Ironically Cole didn't start as a crazy character, but when he starts warning everyone about the end of the world, he's considered mad and convinced it's all in his mind, until he arrives at a point when he can't distinguish past from future, reality from fiction. Willis spends a lot of time looking confused and insecure, and it works perfectly. One of the fun twists in the narrative is when Cole's shrink, Dr. Kathryn Railly, finds undeniable proof he's really from the future and now has to convince him again of his mission to save the world. The screenplay is full with weird twists like this and it keeps the movie in a fast pace. Their relationship is also well-handed, although perhaps a bit compressed for time's sake. But I enjoyed watching Cole and Railly falling in love and trying to escape the authority of the future to live a peaceful life in the past. But then things end in a tragic/bittersweet climax at an airport, wrapping all the pieces together, which will blow many minds away.<br /><br />There are two great endings in this movie, a twist in the sense of Se7en or Fight Club, and a more intimate ending where Railly is crouching next to Cole who's just been shot and looking around for a younger James Cole who's witnessing his future self die; the two share a brief look, and she smiles at him. The twist is brilliant, but I prefer this ending for emotional impact. Madeleine Stowe is very good playing Dr. Railly, she drew many different emotions from me in her performance. The movie is filled with a sense of fatalism with the idea the past can't be changed: this movie shows that in a terrifying way. It reminds me of Chinatown in that sense, the way Jake Gittes messes everything up the more he tries to help. Railly's character shares that fatalism, the more she tries to help Cole  first dealing with his 'madness' then helping him in his mission  the more they're sucked into tragedy.<br /><br />The twist ends with a hopeful note, though, with the feeling Cole's mission hasn't been in vain. Twelve Monkeys is a great movie to watch if one wants to be entertained; it's not supposed to be art, although it's more artists than many artistic movies. It's an unpretentious movie where all elements, from music to editing to costume design, etc., came together beautifully to produce a modern cinema masterpiece.",positive,"Terry Gilliam's and David Peoples' teamed up to create one of the most intelligent and creative science fiction movies of the '90's. People's proved a screenplay with bizarre twists and fantastic ideas about the nature of time  I especially love the idea one can't change the past; it's a nice counterpoint to so many time-travelling movies which say otherwise  biological holocausts and the thin line between sanity and madness. Gilliam visualized his ideas with unique quirkiness, perfection and originality. The story itself is engaging: one man, James Cole (played by Bruce Willis in a heart-warming performance) travels several decades to the past to retrieve information about a virus that's wiped out mankind and left only a few survivors alive living underground: with the information he'll collect, scientists hope to find a cure so everyone in the future can return to the surface. But because their time-travelling technology isn't perfect, he ends up being sent towards different other pasts and complicating things. And from that a brilliant science fiction thriller with shades of film noir ensues as the multiple pieces of a huge jigsaw start fitting together to form a bizarre narrative involving animal right activists, end of the millennium paranoia, biological weapons, the perception of reality, and the definition of sanity. With such a complex movie, it was easy for Gilliam and Peoples to create a mess, but instead Twelve Monkeys is a thought-provoking narrative which will please those who like to be challenged and have patience to appreciate some crazy ideas. I watched this movie once around 10 years ago. It marked me a lot: I remember still thinking about many days after-wards; for my young mind this seemed quite mind-blowing and it was one of the first movies to make me appreciate cinema as something serious and important. I've re-watched this movie a few days ago on DVD and it's better than I remembered it. Brad Pitt still steals all the scenes he's in, playing Jeffrey Goines  almost a prelude to his Tyler Durden character in Fight Club  a rich kid with some anarchist/non-conformist ideas who's also crazy and, according to Cole, perhaps responsible for the virus. The scenes between Jeffrey and Cole in the madhouse are the best in the movie, Pitt's eyes, voice and quirky mannerisms convince you he's really a crazy guy locked in a warped logic only he understands. Pitt's Oscar nomination was well deserved! Surprising was also Bruce Willis' performance: his I didn't remember very well, but it's beautiful and full of sensibility; he plays a man who spent almost all his life underground, and when he comes to the past you'll share his childish fascination with something as simple as breathing the fresh air of the morning or watching the sun go up. Cole is a rather ambiguous character, Peoples' tried to imbue some darkness in him, and he does other disturbing things to other people and to himself: the scene where he removes his own teeth reveals how far his dementia has gone unchecked. Ironically Cole didn't start as a crazy character, but when he starts warning everyone about the end of the world, he's considered mad and convinced it's all in his mind, until he arrives at a point when he can't distinguish past from future, reality from fiction. Willis spends a lot of time looking confused and insecure, and it works perfectly. One of the fun twists in the narrative is when Cole's shrink, Dr. Kathryn Railly, finds undeniable proof he's really from the future and now has to convince him again of his mission to save the world. The screenplay is full with weird twists like this and it keeps the movie in a fast pace. Their relationship is also well-handed, although perhaps a bit compressed for time's sake. But I enjoyed watching Cole and Railly falling in love and trying to escape the authority of the future to live a peaceful life in the past. But then things end in a tragic/bittersweet climax at an airport, wrapping all the pieces together, which will blow many minds away. There are two great endings in this movie, a twist in the sense of Se7en or Fight Club, and a more intimate ending where Railly is crouching next to Cole who's just been shot and looking around for a younger James Cole who's witnessing his future self die; the two share a brief look, and she smiles at him. The twist is brilliant, but I prefer this ending for emotional impact. Madeleine Stowe is very good playing Dr. Railly, she drew many different emotions from me in her performance. The movie is filled with a sense of fatalism with the idea the past can't be changed: this movie shows that in a terrifying way. It reminds me of Chinatown in that sense, the way Jake Gittes messes everything up the more he tries to help. Railly's character shares that fatalism, the more she tries to help Cole  first dealing with his 'madness' then helping him in his mission  the more they're sucked into tragedy. The twist ends with a hopeful note, though, with the feeling Cole's mission hasn't been in vain. Twelve Monkeys is a great movie to watch if one wants to be entertained; it's not supposed to be art, although it's more artists than many artistic movies. It's an unpretentious movie where all elements, from music to editing to costume design, etc., came together beautifully to produce a modern cinema masterpiece.",5367
"What is there to say about an anti-establishment film that was produced in a time of such colourless void, social indifference and authoritarian contentment. Cassevettes first major independent film was not an instant box office success and still has not received the critical attention it deserves. I draw comparisons to this wave of American independent projects consisting of such 'Beat' filmmakers as Robert Frank and Harry Smith with the burgeoning scene emerging in Paris in the late 1950's known as the French new wave.<br /><br />They discussed poetry and philosophy and vulnerability at a time when the rest of the culture was obsessed with rediscovering American cultural supremacy; even at this stage this peculiar, highly spontaneous brand of filmmaking fought against the establishment of such political lexicons and bigots that held the development of the arts in check in the mid twentieth century.<br /><br />Cassevettes film examines race relations and portrays man as weak in the face of love because we, as a culture, are blinded by our own race bias and prejudice. The great element to most of Cassevettes work is that his films have almost a reversal minimalist effect; a mental reaction is evoked through subtle character relations, not so much imagery. This is why his work seems to linger because he takes a more intimate approach to defining charcters that rely less heavily on explicit actions and more upon interpretation.<br /><br />Although my favourite Cassevettes film is 'Husbands', this one is his most important.",positive,"What is there to say about an anti-establishment film that was produced in a time of such colourless void, social indifference and authoritarian contentment. Cassevettes first major independent film was not an instant box office success and still has not received the critical attention it deserves. I draw comparisons to this wave of American independent projects consisting of such 'Beat' filmmakers as Robert Frank and Harry Smith with the burgeoning scene emerging in Paris in the late 1950's known as the French new wave. They discussed poetry and philosophy and vulnerability at a time when the rest of the culture was obsessed with rediscovering American cultural supremacy; even at this stage this peculiar, highly spontaneous brand of filmmaking fought against the establishment of such political lexicons and bigots that held the development of the arts in check in the mid twentieth century. Cassevettes film examines race relations and portrays man as weak in the face of love because we, as a culture, are blinded by our own race bias and prejudice. The great element to most of Cassevettes work is that his films have almost a reversal minimalist effect; a mental reaction is evoked through subtle character relations, not so much imagery. This is why his work seems to linger because he takes a more intimate approach to defining charcters that rely less heavily on explicit actions and more upon interpretation. Although my favourite Cassevettes film is 'Husbands', this one is his most important.",1513
"This movie was made only 48 years after the end of the Civil War--most likely in anticipation of the 50th anniversary of the end of the war. In the film there are recreations of battles and the people of the era that look rather impressive and realistic. It also provides a different and more balanced view than just its contemporary, BIRTH OF A NATION--a patently absurd and racist film. Because of this, this short film would be excellent for use in the classroom to discuss the war and tell the story of a very young man that runs away to enlist as a drummer. The boy makes good and is a hero, though the film ends rather melodramatically--a definite convention of the day. Not a great film, but a decent plot, decent acting and little of the over-the-top acting you often saw in other films of the day.<br /><br />One annoying aspect of this film was the too frequent use of title cards to describe or set the stage for stuff that was really obvious. It got annoying from time to time.",positive,"This movie was made only 48 years after the end of the Civil War--most likely in anticipation of the 50th anniversary of the end of the war. In the film there are recreations of battles and the people of the era that look rather impressive and realistic. It also provides a different and more balanced view than just its contemporary, BIRTH OF A NATION--a patently absurd and racist film. Because of this, this short film would be excellent for use in the classroom to discuss the war and tell the story of a very young man that runs away to enlist as a drummer. The boy makes good and is a hero, though the film ends rather melodramatically--a definite convention of the day. Not a great film, but a decent plot, decent acting and little of the over-the-top acting you often saw in other films of the day. One annoying aspect of this film was the too frequent use of title cards to describe or set the stage for stuff that was really obvious. It got annoying from time to time.",978
"I like this film for several reasons. I have a soft spot for films about intricately plotted criminal plots like TOPKAPI. I also enjoy films (like TOPKAPI and BIG DEAL ON MADONNA STREET) that spoof the the genre. One of the best ones is DISORGANIZED CRIME.<br /><br />Corbin Bernsen has met four cons over the years, and he decides they can all be useful in a bank robbery he is planning in a small Montana town. But he hasn't given any details on the crime to the fellows, nor do they really know each other at all. Shortly after he sends for them Bernsen is arrested by two New Jersey policemen (Ed O'Neill and Daniel Roebuck) whom he escaped from before and have a warrant to bring him back. While he is in their custody the four cons (Fred Gwynne, Lou Diamond Philips, Ruben Blades, and Will Russ) show up without a clue about why they are there except that Bernsen was planning something. <br /><br />The first twenty minutes of the film deal with the four cons slowly getting used to each other, with Gwynne and Philips managing to push away their own suspicions to figure out they have to trust each other. At the same time we see Bernsen patiently waiting for the right moment to escape from O'Neill and Roebuck again - not too difficult as they are not the brightest bulbs who ever existed. The result are two sets of plots that will keep juxtaposing against each other throughout the film: the four cons trying to figure out what Bernsen's scheme was, and how to put it into operation, and Bernsen trying to maintain his own freedom from his pursuers and regain his cabin (and hopefully find his gang there for him to take command of). There is also a third, smaller, plot involving the growing annoyance and anger of local Sheriff Hoyt Axton against the idiots from New Jersey who keep getting into his hair.<br /><br />There are many delightful moments in the film, such as Axton, egged on by O'Neil and Roebuck, into surrounding a house in the town that Bernsen is supposed to be hiding inside of, and yelling (through a megaphone, ""Come out, we have you surrounded!!"", only to have the scene switch to a huge, Montana plain that Bernsen is struggling and stumbling through miles from where the police think he is at that moment. There are moments of misadventures by our four cons, who fortunately put the oldest (Gwynne) into leadership position. This does not always guarantee anything. At one point their car won't start, and they have to thumb a ride by truck. Unfortunately it is a truck carrying manure.<br /><br />The conclusion with the gang successfully carrying out the robbery, including disabling all the police cars at the critical time (Philips specialty is cars) is also a gem of timing, suspense, and comic results. The film is very entertaining, and certainly worth watching.",positive,"I like this film for several reasons. I have a soft spot for films about intricately plotted criminal plots like TOPKAPI. I also enjoy films (like TOPKAPI and BIG DEAL ON MADONNA STREET) that spoof the the genre. One of the best ones is DISORGANIZED CRIME. Corbin Bernsen has met four cons over the years, and he decides they can all be useful in a bank robbery he is planning in a small Montana town. But he hasn't given any details on the crime to the fellows, nor do they really know each other at all. Shortly after he sends for them Bernsen is arrested by two New Jersey policemen (Ed O'Neill and Daniel Roebuck) whom he escaped from before and have a warrant to bring him back. While he is in their custody the four cons (Fred Gwynne, Lou Diamond Philips, Ruben Blades, and Will Russ) show up without a clue about why they are there except that Bernsen was planning something. The first twenty minutes of the film deal with the four cons slowly getting used to each other, with Gwynne and Philips managing to push away their own suspicions to figure out they have to trust each other. At the same time we see Bernsen patiently waiting for the right moment to escape from O'Neill and Roebuck again - not too difficult as they are not the brightest bulbs who ever existed. The result are two sets of plots that will keep juxtaposing against each other throughout the film: the four cons trying to figure out what Bernsen's scheme was, and how to put it into operation, and Bernsen trying to maintain his own freedom from his pursuers and regain his cabin (and hopefully find his gang there for him to take command of). There is also a third, smaller, plot involving the growing annoyance and anger of local Sheriff Hoyt Axton against the idiots from New Jersey who keep getting into his hair. There are many delightful moments in the film, such as Axton, egged on by O'Neil and Roebuck, into surrounding a house in the town that Bernsen is supposed to be hiding inside of, and yelling (through a megaphone, ""Come out, we have you surrounded!!"", only to have the scene switch to a huge, Montana plain that Bernsen is struggling and stumbling through miles from where the police think he is at that moment. There are moments of misadventures by our four cons, who fortunately put the oldest (Gwynne) into leadership position. This does not always guarantee anything. At one point their car won't start, and they have to thumb a ride by truck. Unfortunately it is a truck carrying manure. The conclusion with the gang successfully carrying out the robbery, including disabling all the police cars at the critical time (Philips specialty is cars) is also a gem of timing, suspense, and comic results. The film is very entertaining, and certainly worth watching.",2761
"This movie will undoubtably not go over well with some, because most of the horror is mental. But it does have a little something for almost everyone, including a couple of really cool abduction scenes with aliens. The film makes extensive use of alien abduction mythology, while also showing a bit more intelligence about some facets of abduction myths than you would expect out of a movie. Jillian McWhirter is excellent in what had to have been a grueling performance.",positive,"This movie will undoubtably not go over well with some, because most of the horror is mental. But it does have a little something for almost everyone, including a couple of really cool abduction scenes with aliens. The film makes extensive use of alien abduction mythology, while also showing a bit more intelligence about some facets of abduction myths than you would expect out of a movie. Jillian McWhirter is excellent in what had to have been a grueling performance.",471
"Why this movie has all but disappeared into obscurity is an absolute crime. ""Conan"" is perhaps the only Sword and Sorcery movie better. The brutal violence, cool character designs, and good pacing, make this one of the best fantasies around. It is certainly the greatest animated movie aimed at a more adult audience that I have ever seen. This is not similar to Bakshi's usual frenetic style. It's quite a departure for Bakshi, and in my opinion his best work. I hope that this film gets the recognition it deserves.",positive,"Why this movie has all but disappeared into obscurity is an absolute crime. ""Conan"" is perhaps the only Sword and Sorcery movie better. The brutal violence, cool character designs, and good pacing, make this one of the best fantasies around. It is certainly the greatest animated movie aimed at a more adult audience that I have ever seen. This is not similar to Bakshi's usual frenetic style. It's quite a departure for Bakshi, and in my opinion his best work. I hope that this film gets the recognition it deserves.",517
"Small SPOILERS alert !!!<br /><br />Good movie...VERY good movie. And I'm surprised to say that myself, because I'm not a big fan of vampires and the sound of the director's name Deran Serafian usually means bad news. Most of his films are below average action movies like Death Warrant and Gunmen. This was one of his first films and maybe he should have continued making horror movies instead of action. This movie really fascinated me. Good accomplishment, seeing no famous actors or big budget was involved. It really is the story that keeps you focused. Especially fans of the original Dracula myth will be satisfied. Sarafian lights up another aspect of the famous Bram Stoker story and remains rather loyal and true to the truth. It explains the life of the Roemenian Count Dracula and how he scared the Turkish army away by spearing dead corpses in front of his castle. Of course, that's where the reality and the ""based on a true story"" stops. The blood drinking and stuff all was invented by Bram Stoker.<br /><br />In this movie, the count ( Vlad Teppish) emigrates to the USA and seduces tons of woman. And they're all pretty girls, I'll give him that. Overall, good acting by unknown faces, enough blood and gore to satisfy the more morbid horror fans and an interesting storyline. This film is really unknown and it was hidden on the darkest shelf at my local videostore. But it certainly is worth cleaning up the dust on the cover and put it in the VCR. Heck, it's a lot better than the famous Nicole Kidman movie with the same title. These two films have nothing else in common, but I blame that movie for stealing the attention away from this nice little picture. Check it out...my humble opinion on To Die For = 8.5/10",positive,"Small SPOILERS alert !!! Good movie...VERY good movie. And I'm surprised to say that myself, because I'm not a big fan of vampires and the sound of the director's name Deran Serafian usually means bad news. Most of his films are below average action movies like Death Warrant and Gunmen. This was one of his first films and maybe he should have continued making horror movies instead of action. This movie really fascinated me. Good accomplishment, seeing no famous actors or big budget was involved. It really is the story that keeps you focused. Especially fans of the original Dracula myth will be satisfied. Sarafian lights up another aspect of the famous Bram Stoker story and remains rather loyal and true to the truth. It explains the life of the Roemenian Count Dracula and how he scared the Turkish army away by spearing dead corpses in front of his castle. Of course, that's where the reality and the ""based on a true story"" stops. The blood drinking and stuff all was invented by Bram Stoker. In this movie, the count ( Vlad Teppish) emigrates to the USA and seduces tons of woman. And they're all pretty girls, I'll give him that. Overall, good acting by unknown faces, enough blood and gore to satisfy the more morbid horror fans and an interesting storyline. This film is really unknown and it was hidden on the darkest shelf at my local videostore. But it certainly is worth cleaning up the dust on the cover and put it in the VCR. Heck, it's a lot better than the famous Nicole Kidman movie with the same title. These two films have nothing else in common, but I blame that movie for stealing the attention away from this nice little picture. Check it out...my humble opinion on To Die For = 8.5/10",1714
"If you enjoy riddles and suspense, you will enjoy this movie. Truth be told it was mostly the Adrian Paul part that got me to pick it up, I knew almost nothing about the movie beforehand. Plot is: Sarah (Carly Pope), a student of philosophy and metaphysics, starts playing a mysterious riddle game trying to figure out ""the reason"" and gets involved in ""the game"" by solving riddles. Vern (Adrian Paul) is a shop owner, also a riddle fanatic, and also gets entangled in the game. Myth has it that if you solve the game, the meaning of existence (referred to as ""The Design"") is revealed. Brendan Fehr's character is a ""village idiot"" type hanging around the shop who turns out to be more than he seems. All in all, I thought the movie was pretty well done. And it's definitely an original concept, a rare find these days! I personally happen to like riddles and puns, so while most of them weren't very difficult, it was still a fun movie. Well worth the rental.<br /><br /> So, if you haven't seen it -- get it! :-D<br /><br />",positive,"If you enjoy riddles and suspense, you will enjoy this movie. Truth be told it was mostly the Adrian Paul part that got me to pick it up, I knew almost nothing about the movie beforehand. Plot is: Sarah (Carly Pope), a student of philosophy and metaphysics, starts playing a mysterious riddle game trying to figure out ""the reason"" and gets involved in ""the game"" by solving riddles. Vern (Adrian Paul) is a shop owner, also a riddle fanatic, and also gets entangled in the game. Myth has it that if you solve the game, the meaning of existence (referred to as ""The Design"") is revealed. Brendan Fehr's character is a ""village idiot"" type hanging around the shop who turns out to be more than he seems. All in all, I thought the movie was pretty well done. And it's definitely an original concept, a rare find these days! I personally happen to like riddles and puns, so while most of them weren't very difficult, it was still a fun movie. Well worth the rental. So, if you haven't seen it -- get it! :-D",1004
"Enjoyable film that gives you romance, women-on-the-verge psychodrama, work place sexual harassment, adultery, and fashion. It's all there. Typical characters found in corporate America. Joan Crawford is the usual long time employee bitch executive who feels the need to be such because she's with the big boys. Hope Lange is the entry level ambitious employee whose determined to get to the top by using her mind and not her body. Their personal lives is the subplot. <br /><br />Wardrobe for the film is great but someone forgot to tell Stephen Boyd's hairstylist that ""a little dab will do ya!"" The amount of Brylcream in Stephen Boyd's hair is distracting at times. His character's relationship with Lange's character was never fully developed which I found disappointing. Overall the movie is enjoyable. <br /><br />Rating: 8/10",positive,"Enjoyable film that gives you romance, women-on-the-verge psychodrama, work place sexual harassment, adultery, and fashion. It's all there. Typical characters found in corporate America. Joan Crawford is the usual long time employee bitch executive who feels the need to be such because she's with the big boys. Hope Lange is the entry level ambitious employee whose determined to get to the top by using her mind and not her body. Their personal lives is the subplot. Wardrobe for the film is great but someone forgot to tell Stephen Boyd's hairstylist that ""a little dab will do ya!"" The amount of Brylcream in Stephen Boyd's hair is distracting at times. His character's relationship with Lange's character was never fully developed which I found disappointing. Overall the movie is enjoyable. Rating: 8/10",809
"What can you say about a short little film filled with secondary actors and no ""stars"", with absolutely no bad performances, not one poorly delivered line of dialog, and with the cold violence on one hand being balanced by the warm ""heart"" of the protagonists in the story? <br /><br />It's a jewel, a diamond, a little valuable gem of a western that evokes the spirit and legend of the American West. A West not settled by grand heroes like Hickock or Cody or Masterson or Earp, but by the spread of the everyday man and woman, farmers and ranch hands, merchants and miners and lumbermen, whores and barkeeps, and entertainers of the day, some looking for riches, some for peace and quiet, some for religious freedom. <br /><br />It is, perhaps, a very spiritual story, though not promoting any particular religion, for even the non-Mormon cowboys portrayed by Ben Johnson and Harry Carey Jr. act in kind and noble ways toward everybody in the story, regardless of religious affiliation and beliefs, and go out of their way to promote tolerance and charity when the wagon train comes upon the stranded medicine show people. And in true biblical fashion, like David and Goliath or Samson and the Philistines, they are the guardian angels sent to the wagon train who eventually have to go head to head with the evil incarnate Clegg clan, likening them to the serpent in the Garden of Eden, and regretting what it is they have to do afterward. It's a sweet folkloric tale of the West that hits every target John Ford takes aim at.<br /><br />Nowadays I have a western Santa Claus whose red outfit is covered with a denim drover coat, whose red stocking cap is replaced by a brown Stetson, who carries a burlap bag of presents and a coil of rope. To my Santa I added a Winchester rifle with a sling to put on one of his shoulders and a Colt revolver to tuck into his waistband. When people at the office ask why my Santa has to carry guns, I simply reply, ""Snakes!"" After all, isn't the spirit of the Christmas season one where everybody should get what they deserve? <br /><br />Fifty five years later, especially post-911, the philosophies and attributes demonstrated by the characters and story of this movie are still as relevant today as they were back then.",positive,"What can you say about a short little film filled with secondary actors and no ""stars"", with absolutely no bad performances, not one poorly delivered line of dialog, and with the cold violence on one hand being balanced by the warm ""heart"" of the protagonists in the story? It's a jewel, a diamond, a little valuable gem of a western that evokes the spirit and legend of the American West. A West not settled by grand heroes like Hickock or Cody or Masterson or Earp, but by the spread of the everyday man and woman, farmers and ranch hands, merchants and miners and lumbermen, whores and barkeeps, and entertainers of the day, some looking for riches, some for peace and quiet, some for religious freedom. It is, perhaps, a very spiritual story, though not promoting any particular religion, for even the non-Mormon cowboys portrayed by Ben Johnson and Harry Carey Jr. act in kind and noble ways toward everybody in the story, regardless of religious affiliation and beliefs, and go out of their way to promote tolerance and charity when the wagon train comes upon the stranded medicine show people. And in true biblical fashion, like David and Goliath or Samson and the Philistines, they are the guardian angels sent to the wagon train who eventually have to go head to head with the evil incarnate Clegg clan, likening them to the serpent in the Garden of Eden, and regretting what it is they have to do afterward. It's a sweet folkloric tale of the West that hits every target John Ford takes aim at. Nowadays I have a western Santa Claus whose red outfit is covered with a denim drover coat, whose red stocking cap is replaced by a brown Stetson, who carries a burlap bag of presents and a coil of rope. To my Santa I added a Winchester rifle with a sling to put on one of his shoulders and a Colt revolver to tuck into his waistband. When people at the office ask why my Santa has to carry guns, I simply reply, ""Snakes!"" After all, isn't the spirit of the Christmas season one where everybody should get what they deserve? Fifty five years later, especially post-911, the philosophies and attributes demonstrated by the characters and story of this movie are still as relevant today as they were back then.",2213
